Position,Date Posted,Application Due,Position Type,Number of Openings,Location,Targeted Academic Majors,Hiring Status,Job Function,Payment Type and Range,Hours Per Week,Workplace Type,Transportation,Work Authorization,Additional Documents,Desired Skills,Description,Bouve College of Health Sciences,College of Engineering,"College of Arts, Media & Design",College of Science,College of Social Science & Humanities,D'Amore-McKim School of Business,Khoury College of Computer Sciences
Associate Product Manager ,"Oct 20, 2020","Jun 07, 2021",Co-op,1,"Beverly, Massachusetts United States","College of Engineering, D'Amore-McKim School of Business, Khoury College of Computer Sciences",Available,Software Development,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,Job Overview:,No,Yes,No,No,No,Yes,Yes
(GLOBAL) REMOTE Digital Marketing Co-op,"Sep 18, 2020","Dec 31, 2020",Co-op,1,Denpasar Bali Indonesia,"College of Engineering, D'Amore-McKim School of Business/Marketing, Khoury College of Computer Sciences/Computer Science",Available,Engineering - Other,Unpaid,Full Time (32+ Hours Per Week),"Remote work is permitted when public health concerns dictate, Remote work is permitted at any time, Primarily remote work",,,,,Profile:Advantages:,No,Yes,No,No,No,Yes,Yes
Junior Business Intelligence Developer Private Equity,"Sep 01, 2020","Nov 30, 2020",Co-op,1,"Boston, Massachusetts United States",Khoury College of Computer Sciences,Available,Software Development,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily on-site work, Primarily remote work",Accessible by public transportation,,,,,No,No,No,No,No,No,Yes
Supply Chain - Purchasing Internship (Spring 2021),"Sep 15, 2020","Jan 08, 2021",Co-op,4,"Austin, Texas United States Palo Alto, California United States Buffalo, New York United States Fremont, California United States Reno, Nevada United States","College of Engineering/Mechanical Engineering, College of Engineering/Industrial Engineering, College of Engineering/Engineering Management, D'Amore-McKim School of Business/Supply Chain Management",Available,Supply Chain Management,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",,,,,"Must apply through NUworks and the Tesla website:https://www.tesla.com/careers/job/supply-chain-purchasinginternshipspring2021-69658FIRST ROUND RESUMES WILL BE SENT ON 9/25 AT 12NOON. PLEASE APPLY BEFORE THEN TO BE CONSIDERED!Disclaimer:This position is expected to start around January/February 2021 and continue through the spring term (i.e. May/June 2021) or into summer 2021 ifavailable. Please consideravailabilitybeforesubmitting an application.Our CompanyTesla is accelerating the world’s transition to sustainable energy. We design, manufacture, sell and service the world’s best solar technology, energy storage systems, and electric vehicles, providing customers the opportunity to generate, store and consume energy entirely sustainably.Tesla is committed to hiring and developing top talent from around the world for any given discipline. Based in California, Tesla’s workforce spans across four continents. We work to build an inclusive environment in which all people, regardless of gender, race, religion, or background, can come to do their best work.Our world-class teams operate with a non-conventional philosophy of inter-disciplinary collaboration. Each member of the team is expected to challenge and to be challenged, to create, and to innovate. We’re tackling the world’s most difficult and important problems—and we wouldn’t succeed without our shared passion for making the world a better place.Internship Program at TeslaThe University Recruiting Team is driven by the passion to recognize emerging talent. Our year around program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by given them projects that are critical to their team’s success.Instead of going on coffee runs and making copies, you’ll be seated at the table making critical decisions that will influence not only your team, but the overall achievement of Tesla’s mission.LocationsThe Purchasing team supports the development, implementation and management of strategies to provide Tesla with optimal supply assurance, pricing, flexibility, quality and delivery performance. Interns build and leverages strong working relationships with our engineering teams and key suppliers to assure cost, quality, and delivery targets are met. They work toward good supplier relationships and total costs of ownership to achieve maximum advantage for Tesla and our customers.DepartmentsWe are looking for a highly motivated Global Supply Management interns to support our cross functional development teams in sourcing and project management of direct supply chain components and assemblies. These include but are not limited to Mechanisms, Electro-Mechanisms, Closures, and Lighting within any or all TESLA programs, including (Model S, X, 3, and Y). This role will report directly to a Global Supply Manager within the supply chain direct purchasing organization.This individual will implement and manage strategies to provide Tesla with optimal supply assurance, pricing, flexibility, quality and delivery performance. The ideal candidate has a fundamental understanding of key manufacturing processes, excellent project management skills, and an ability to multi-task, prioritize and work in an extremely fast-paced environment. The Global Supply Management Intern builds and leverages strong working relationships with our engineering teams and key suppliers to assure cost, quality, and delivery targets are met. They work toward good supplier relationships and total costs of ownership to achieve maximum advantage for Tesla and our customers.Tesla is a fast moving, dynamic environment where flexibility and adaptability are key attributes needed for success. The successful candidate will be a self-starter and continuously motivated to keep learning.The RoleRequirements",No,Yes,No,No,No,Yes,No
Employer Branding Specialist,"Oct 27, 2020","Nov 16, 2020",Co-op,1,"Cambridge, Massachusetts United States","College of Arts, Media & Design, College of Science",Available,Brand Marketing,Hourly,Half Time (16-31 Hours Per Week),Remote work is permitted at any time,Accessible by public transportation,,,,Seeking co-op student to work on projects related to expanding our employer brand. Senior Director of Talent Acquisition would provide oversight but expectations is that projects would be mainly self-directed.Projects could include:,No,No,Yes,Yes,No,No,No
Remote global co-op - Social media and communications,"Sep 12, 2020","Jan 08, 2021",Co-op,1,Bangalore Karnataka India,"College of Arts, Media & Design, College of Science, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Communications / Public Relations,Unpaid,Full Time (32+ Hours Per Week),Primarily remote work,,,,,"Organization: Ashoka Innovators for PublicProject Title: Nourishing Schools ProgrammeJob position title: Social Media and Communications InternLocation: Virtual/Remote workJob Overview: Ashoka’s Nourishing Schools programme is on a mission to enable young changemakers to take charge of their own nutrition and profess the same knowledge within their communities. The intern will support in the development of communications and multimedia materials that are consistently engaging and propel interest and action. The ideal candidate is a digital media enthusiast with exceptional writing and design skills and demonstrated curiosity and background in impact communications.Responsibilities and Duties: Develop high-impact social media content including graphics, videos and other multimedia formats that effectively informs and engages external audiences Devise collection and analysis of social media metrics to gauge reach, engagement and other performance measures for social media posts, accounts, and campaigns, helping to inform results-based decision making and drive the effective use of resources. Design and prepare content/copy for reports, presentations, blog articles and other internal and external communications materials Support the development and implementation of larger communication strategies and efforts Support the development of web sites, including layout, content, look and feelReports To: Archana Sinha, Senior Change managerQualifications:Students from following majors may find it relevant: Communications and media studies, Journalism, Business, Design (strategy design, information design) Data VisualizationRequired skills/Personal skills: Experience in producing, editing, and disseminating multimedia content for online audiences. Experience using advanced tools for online publishing, including content management systems and social media authoring tools like Hootsuite. Experience in producing and interpreting web or social media analytics (ex: Google Analytics) to inform strategies and work plans. Sophisticated understanding of multimedia content, including how it can best be produced, packaged, published, and shared on websites, on social media and for partner organizations. Excellent command of English and highly developed writing and editing skills. Excellent computer skills (MS Office essential; Adobe Photoshop and/or Adobe Premiere Pro an asset). Familiarity with Slack and Trello is an asset.Skills gained by the end of internship: Experience in development and impact communication Creating informational content for positive social change Creative visualization of data Autonomy to plan and execute strategies Effective time-management CollaborationInternship start date and Duration: January to June 2021Compensation (per month): UnpaidWorking hours (per week): Minimum 20 hours per week and up to 40 hours a week.Add-ons:Fluid workspace, Relaxed environment, Friendly and inspiring co-workers, chance to engage with ever-inspiring Ashoka fellows.About AshokaAshoka is the largest network of social entrepreneurs worldwide, with nearly 3,000 Ashoka Fellows in 70 countries putting their system changing ideas into practice on a global scale. Founded by Bill Drayton in 1980, Ashoka has provided start-up financing, professional support services, and connections to a global network across the business and social sectors, and a platform for people dedicated to changing the world.About Nourishing SchoolsNourishing Schools has been designed by Ashoka India’s Health and Nutrition Initiative in partnership with various stakeholders. It aims to develop young changemakers aged between 9-14 years, who can take charge of their own nutrition and that of their communities. The broad objective is to develop a toolkit that enables schools to improve the nutrition of school children and communities.Ashoka has partnered with Ashoka Fellows and various organisations to roll out the Nourishing Schools programme across India in over 200 schools.Optional services provided by Bridge CulturesStudents learn about culture and multiple facets and influences on various aspects of life through conversations with people they would meet while in Bangalore. With remote co-op, Bridge Cultures will enable these conversations virtually. We will organize 3 virtual webinars and workshops on various topics in context to cultural integration which will align with students’ professional and personal growth. Bridge Cultures will bring professionals from various domains and facilitate these interactive sessions.Few topics (not confined to) are listed below:· Social entrepreneurship· Know the city - food, culture, people· Leadership and Teamwork· Unconscious biases· Critical thinking· Influence of culture on design, education, outdoor education, experiential education· Sustainability· Mental health, emotional well-being· Impact of traveling on our personalitySelf-reflection session:Bridge Cultures believes that self-reflection is highly important and necessary to learn and grow, especially after working with a social enterprise on an impactful project. Out of many reasons, reflection is important because it:· Enables the individuals to process and make meaning of the experience· Fosters a better understanding of context. i.e. understanding how their work impacts the community and encourages more participation in future· Creates a sense of accomplishment· Enables the individuals to examine the effects of their behavior, discover ways to improve· Reinforces the feeling of empathy gained during the experience· Acknowledges the skills gained during the experience and builds confidenceInclusions - Program Fees (virtual):· Co-op placement· Necessary documentation· Self-Reflection session· 2-3 online webinars/workshops on various topics· Review meetings during co-op to track progress· Social networkBridge Cultures Refund Policy:· In case the student wishes to cancel the co-op prior to confirmation from the organization, cancellation must be provided in writing via email marking a copy to Mr. Richard Conley. Refund will be processed after deducting 25% of the program fees (this is to factor the currency transaction charges that incurs to Bridge Cultures)· In case the student wishes to cancel the co-op after receiving confirmation from the organization, cancellation must be provided in writing via email marking a copy to Mr. Richard Conley. Refund will be processed after deducting 75% of the program fees",No,No,Yes,Yes,Yes,Yes,No
Mechanical Design Engineer,"Oct 30, 2020","Dec 31, 2020",Co-op,1,"Billerica, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Research & Development,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Car required for commute,,,Solidworks,Project tasks would include:Qualifications:,No,Yes,No,No,No,No,No
Fluid/Thermal Engineering Co-op,"Oct 05, 2020","Jan 22, 2021",Co-op,1,"Cambridge, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Engineering - Other,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,"Fluids, Thermodynamics",About FGC Plasma:,No,Yes,No,No,No,No,No
Pharmacy Intern - Institutional,"Nov 03, 2020","Dec 31, 2020",Co-op,1,"Boston, Massachusetts United States",Bouve College of Health Sciences/Pharmacy,Available,Healthcare - Health Sciences,Hourly/$11 to $17 (USD),Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,,,The student must be a Registered Pharmacy Intern in Massachusetts.Special Requirements: Mandatory drug and alcohol screening is required by the hospital for all employees,Yes,No,No,No,No,No,No
Medical Record Reviewer,"Oct 21, 2020","Feb 17, 2021",Co-op,4,"Quincy, Massachusetts United States","Bouve College of Health Sciences, College of Science",Available,Healthcare - Health Sciences,Weekly/Up to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,"Medical Records, Solid computer skills, Analytical Skills, Professionalism, Telephone Skills, Investigation, Interpersonal and intercultural communication","HEDIS Reviewer Job Description DraftNortheastern Co-op ProgramResponsibilities:Our department is looking for eager and hardworking students with an interest in healthcare to review medical records for our annual HEDIS process. HEDIS (Healthcare Effectiveness Data and Information Set) is a performance measurement guide to track important aspects of care provided to customers of health insurance plans. The HEDIS Medical Record Review Team works to assure quality of care for our members at Blue Cross Blue Shield of Massachusetts, collecting data on physician practices and patient outcomes to report to the NCQA healthcare accreditation organization, ultimately helping BCBS maintain its excellent reputation as a premier health insurance company. The candidate will be contacting BCBSMA provider offices to request medical records, reviewing charts to abstract the necessary data, and entering said data into our database application. Students may be reviewing 50-60 charts a day, in both paper and electronic format.There is a possible travel component of this position, as students may be required to go to various healthcare facilities within Massachusetts (ie: UMass, Lahey, Southcoast Hospital) to review records onsite, while maintaining BCBS professionalism. This travel will be concentrated in a 4-6 week period in February and March. Travel expenses will be compensated in addition to the hourly wage offered. BCBS makes a conscious effort to plan this travel strategically based on where each student resides, to avoid unnecessary travel time.Top Criteria/Requirements:1. Computer Skills – Students must be computer savvy: able to navigate different databases, comfortable updating and maintaining Excel spreadsheets, etc.2. Familiarity with Provider Offices – The candidate should have a basic understanding of the environment in a doctor’s office or hospital setting; as a HEDIS reviewer, you will be a guest in various professional healthcare settings and should feel confident working in these environments.3. Professionalism – Students are representing BCBS; professional dress, conduct, etc. are crucial.4. Culture Fit – This department prides itself on a cohesive team mentality and values a student who is a contributing team member. For instance, if a student has more experience with a specific computer program, they should be willing to impart that knowledge to others. Students should also be open to asking questions; it is better to ask questions than make mistakes that can take time and effort to correct.5. Telephone Skills – Students will be making phone calls to providers’ offices to ask for medical records not received or to request missing clinical information. Professionalism and telephone etiquette are required.Opportunity:This position provides an eye-opening look into the complex and ever-changing industry of health care in the United States. Blue Cross Blue Shield of Massachusetts is a major healthcare provider, insuring about 2.8 million individuals in MA, as well as across state lines. In a time where health insurance is on the forefront of many political conversations, and on the minds of most Americans, this is a unique opportunity to gain a comprehensive understanding of the health insurance industry and its efforts to improve care for millions of Americans.1. HEDIS Knowledge – Students will gain an in-depth understanding of the HEDIS review process, a nationally recognized and standardized measurement of quality health care. They will become familiar with the various measurements of care, collected through random sampling of members, both healthy and those with chronic medical conditions.2. Electronic Medical Records – This position will expose students to multiple EMR systems. They will learn to navigate different systems, locate essential clinical information, and work with office staff for assistance if/when difficulties are reached (ie: unable to access certain records or results, computer freezes, etc.) A problem-solving mentality, paired with a sense of flexibility, is essential to working through these systems and their complexities.3. Provider’s Offices – This position will expose students to various healthcare settings, where they will be working with employees, and sometimes directly with medical professionals, to abstract the necessary information.We are excited to welcome several Northeastern Co-op students to our 2021 HEDIS Review Team! We look forward to reviewing each application and interviewing candidates who we think would be a great addition to our team.",Yes,No,No,Yes,No,No,No
Strategic Marketing Co-op,"Oct 20, 2020","Dec 15, 2020",Co-op,1,"Boston, Massachusetts United States",D'Amore-McKim School of Business,Available,Marketing - Strategy,Hourly,Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,Accessible by public transportation,,,"Professional Development, Oral & Written Communication Skills, Strong Communication skills, Strong Attention to Detail","· Corporate Materials: Help to generate and maintain online and printed corporate materials such as biographies, profiles, graphics, videos, overviews, pitch books, and thought leadership (some in multiple languages) to ensure timely updates and consistent branding and messaging.· Strategic Marketing Content: Assist with projects to support the broader Strategic Marketing team as needed – i.e. support marketing initiatives around fund launches, brand campaigns, thought leadership activity, global events and sponsorships.· Strong oral and written communications skills; ability to define and articulate marketing and communications strategy as well as potential road blocks/concerns.· Ability to use resources to problem solve on the fly, sometimes with limited information.· Commitment to innovation and creative thinking in how to bring marketing programs to life in unique ways.",No,No,No,No,No,Yes,No
Accounting Co-op (Jan-June 2021),"Sep 11, 2020","Jan 04, 2021",Co-op,2,"Boston, Massachusetts United States","College of Science/Mathematics, College of Social Science & Humanities/Economics, D'Amore-McKim School of Business/Finance, D'Amore-McKim School of Business/Business Administration, D'Amore-McKim School of Business/Accounting",Available,Accounting - Audit,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",,,,,"Accounting Co-opJanuary 11-June 25, 2021To be considered for this role, you MUST apply through NUworks AND this link:https://grnh.se/c8e30a6a2usIMPORTANT APPLICATION INFORMATION: WAYFAIR CO-OP PRIORITY DEADLINE OCTOBER 2All candidates who apply on or before October 2, and who advance in our interview process, will receive an offer decision from the team by October 30. After October 30, we will continue the interview process to fill any remaining roles not filled during the Priority Period.The Finance team consists of detail-oriented, highly organized individuals who oversee the company's financial well-being while supporting operational and general business planning. We solve challenging accounting problems and provide financial analyses to determine key operational decisions within a growing and diversifying organization. We are dedicated to meeting new challenges head on at each milestone in Wayfair's development and can adapt to changes within a dynamic, fast-paced environment.The mission of the Wayfair Accounting team is “To close the books efficiently with no material errors or audit findings while providing support to our business partners as the subject matter experts on all accounting and auditing matters.” As a part of our team, you will be integral to the monthly financial close process and quarterly SEC filings.What You’ll Do:What You’ll Need:About Us:Wayfair is one of the world’s largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, we’re reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If you’re looking for rapid growth, constant learning, and dynamic challenges, then you’ll find that amazing career opportunities are knocking.No matter who you are, Wayfair is a place you can call home. We’re a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well positioned for success. We value and rely on the collective voices of our employers, customers, community, and suppliers to help guide us as we build a better Wayfair – and world – for all. Every voice, every perspective matters. That’s why we’re proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information.",No,No,No,Yes,Yes,Yes,No
"Spring 2021 Co-op, Software Development","Sep 30, 2020","Jan 29, 2021",Co-op,9,"Arizona United States Austin, Texas United States Canonsburg, Pennsylvania United States","College of Engineering/Mechanical Engineering, College of Engineering/Computer Engineering, Khoury College of Computer Sciences/Computer Science",Available,Software Development,Hourly,Full Time (32+ Hours Per Week),Primarily on-site work,Carpool available,,,,"Location:Canonsburg, PA, US, 15317Company:AnsysAnsys is the global leader in engineering simulation, helping the world's most innovative companies deliver radically better products to their customers. By offering the best and broadest portfolio of engineering simulation software, Ansys helps companies solve the most complex design challenges and engineer products limited only by imagination.As a student co-op, you will help develop our industry-leading simulation software while gaining real experience in your field of study. You will work on a variety of impactful projects to help maintain, advance, and accelerate ANSYS products.In this position, you will support our geometry integration and CAD acquisition team. This is a 40-hour per week paid position starting January 2021and concluding April 2021.",No,Yes,No,No,No,No,Yes
Quotations Co-op,"Sep 28, 2020","Jan 04, 2021",Co-op,1,"Boston, Massachusetts United States","College of Science/Physics, College of Science/Mathematics, College of Science/Applied Physics, College of Science/Applied Mathematics, College of Social Science & Humanities, D'Amore-McKim School of Business",Available,Construction & Building Trades,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,,The Co-op employee will be responsible for supporting the Quotations Department.,No,No,No,Yes,Yes,Yes,No
Research Assistant (Project 2),"Oct 02, 2020","Dec 31, 2020",Co-op,2,"Boston, Massachusetts United States","College of Science/Psychology, College of Science/Linguistics, College of Science/Behavioral Neuroscience",Available,Research,Unpaid,Half Time (16-31 Hours Per Week),Primarily remote work,,,,,,No,No,No,Yes,No,No,No
NBC News Partnerships Intern,"Sep 22, 2020","Dec 18, 2020",Co-op,1,"New York, New York United States","College of Arts, Media & Design/Journalism, College of Arts, Media & Design/Communication Studies",Available,Other,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),Primarily remote work,Accessible by public transportation,,,,*Remote for spring 2021,No,No,Yes,No,No,No,No
Infrastructure Intern,"Sep 29, 2020","Jan 08, 2021",Co-op,1,"Foster City, California United States","College of Engineering/Robotics, College of Engineering/Electrical Engineering, College of Engineering/Electrical and Computer Engineering, College of Engineering/Computer Engineering",Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Primarily on-site work",,,,,"We are hiring for both Machine Learning Infrastructure and Tools and Infrastructure; candidates will be matched to the team that best fits their skill set and interests.Interns at Zoox may not use any proprietary information they are working on as part of their thesis, any published work with their university, or to be distributed to anyone outside of Zoox.ABOUT ZOOXZoox is developing the first ground-up, fully autonomous vehicle fleet and the supporting ecosystem required to bring this technology to market. Sitting at the intersection of artificial intelligence, robotics, and design, Zoox aims to provide the next generation of mobility-as-a-service in urban environments. We’re looking for top talent that shares our passion and wants to be part of a fast-moving and highly execution-oriented team.Follow us on LinkedIn",No,Yes,No,No,No,No,No
Social Media Co-op   (Possibly a Remote Position),"Oct 01, 2020","Dec 01, 2020",Co-op,1,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Professional Studies, College of Social Science & Humanities",Available,Brand Marketing,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,"Cover Letter, Portfolio","Social Media Marketing, Corporate Social Media, Social Media Advertising",,No,No,Yes,No,Yes,No,No
Business Development (Cybersecurity Sales) Co-op (remote),"Sep 17, 2020","Jan 01, 2021",Co-op,5,"Boston, Massachusetts United States","College of Arts, Media & Design, College of Arts, Media & Design/Theatre, College of Arts, Media & Design/Journalism, College of Arts, Media & Design/Communication Studies, College of Professional Studies, College of Professional Studies/Project Management, College of Professional Studies/Leadership, College of Professional Studies/Global Studies and International Relations, College of Professional Studies/Finance and Accounting Management, College of Professional Studies/Digital Media, College of Professional Studies/Corporate & Org Communication, College of Professional Studies/Commerce and Economic Development, College of Science/Psychology, College of Social Science & Humanities, College of Social Science & Humanities/Sociology, College of Social Science & Humanities/Security & Resilience Studies, College of Social Science & Humanities/Philosophy, College of Social Science & Humanities/Human Services, College of Social Science & Humanities/History, College of Social Science & Humanities/English, College of Social Science & Humanities/Economics, College of Social Science & Humanities/Cultural Anthropology, D'Amore-McKim School of Business, D'Amore-McKim School of Business/Marketing, D'Amore-McKim School of Business/Management, D'Amore-McKim School of Business/Entrepreneurship and New Venture Management, D'Amore-McKim School of Business/Business Administration",Available,Sales,Hourly/$15 to $21 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate, Primarily remote work",Accessible by public transportation,,,,"This position is remote until COVID conditions improve enough for safe in-person workYou'll learn:What you'll need to succeed as a Sales Intern:From over 35 nationalities, our Futurists are the perfect recipe of humility, accountability, and collaborative attitudes. Our dedication to empowering clients with elite intelligence to disrupt adversaries has earned us a 4.7-star user rating from Gartner and 8 of the top 10 Fortune 100 companies as clients.Want more info?Our goal is to create an environment which attracts and retains talent from a diverse range of backgrounds and lifestyles where they can feel included and respected for who they are and what they bring to Recorded Future.Recorded Future will not discharge, discipline or in any other manner discriminate against any employee or applicant for employment because such employee or applicant has inquired about, discussed, or disclosed the compensation of the employee or applicant or another employee or applicant.Recorded Future is an equal opportunity and affirmative action employer and we encourage candidates from all backgrounds to apply. Recorded Future does not discriminate based on race, religion, color, national origin, gender including pregnancy, sexual orientation, gender identity, age, marital status, veteran status, disability or any other characteristic protected by law.",No,No,Yes,Yes,Yes,Yes,No
Automation/Mechatronics Engineer Co-op,"Oct 07, 2020","Dec 31, 2020",Co-op,1,"San Francisco, California United States","College of Engineering, College of Engineering/Mechanical Engineering",Available,Computer Hardware Engineering,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,,"THE COMPANYPAX Labs is an award-winning consumer technology brand with a mission to establish cannabis as a force for good. Our products set a high bar for quality and, together with the PAX App, offer unique features such as safety locking, adjustable temperature and draw control. As millions of consumers try cannabis for the first time or return to it after a long hiatus, PAX believes that quality, transparency and predictability are the keys to safe, responsible use by adults.Headquartered in San Francisco, PAX is backed by leading technology investors including Tiger Global and Tao Invest (Pritzker family fund). We are an exceptional team with hardware and software backgrounds in consumer technology, healthcare, and biotech, and are growing rapidly to deliver on our mission. Our internal culture values diversity, integrity, having an impact, and passion for the larger movement that PAX is a part of.PAX HARDWARE TEAMThe Hardware division is responsible for the physical product, i.e. the industrial design+electrical+mechanicals+validation+firmware. We're responsible for delivering, so you should have that mind-set, too. We are a small but efficient team, diverse in experience from consumer products to medical devices to solar. Taking personal responsibility for your work and taking initiative to solve problems are both key traits we look for in our team members. Everyone here really cares about delivering on his or her slice of the product, and is willing to jump-in wherever a gap needs to be filled.The PAX Podomation Team is an agile group of multidisciplinary creatives that design, build and test automation equipment and solutions that support PAX’s ERA Platform and diverse network of filling partners. We are a small but efficient team, diverse in experience from consumer electronics manufacturing to CPG. Taking personal responsibility for your work and taking initiative to solve problems are both key traits we look for in our team members. A desire to learn new things and a constant curiosity about how things work is also something we valve. Everyone here really cares about delivering on his or her slice of the product, and is willing to jump-in wherever a gap needs to be filled.THE AUTOMATION/MECHATRONICS ENGINEER ROLEQUALIFICATIONSYou must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. Experience listed below would be obtained through a combination of your school work/classes/research and/or relevant previous job and/or internship experiences.Minimum QualificationsPreferred Qualifications",No,Yes,No,No,No,No,No
Space Systems and Technology R&D Co-op,"Oct 09, 2020","Dec 31, 2020",Co-op,1,"Lexington, Massachusetts United States",College of Engineering/Mechanical Engineering,Available,Research & Development,Hourly/$19 to $25 (USD),Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,"United States Citizen, Legal Permanent Resident of US",,,"We develop technology to meet the challenges of an increasingly congested and contested space domain. Our engineers design, prototype, operate, and assess systems that detect, track, identify, and characterize resident space objects. Given the potential for conventional conflict to extend to space, we conduct R&D on concepts and systems that will provide space mission resilience.Requirements:Requisition ID:30772For Benefits Information, clickhttp://hrweb.mit.edu/benefitsMIT Lincoln Laboratory is an Equal Employment Opportunity (EEO) employer. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, veteran status, disability status, or genetic information; U.S. citizenship is required.",No,Yes,No,No,No,No,No
Engineering,"Oct 02, 2020","Jun 01, 2021",Co-op,2,"Holyoke, Massachusetts United States Springfield, Massachusetts United States",College of Engineering,Available,Engineering - Other,Hourly,Full Time (32+ Hours Per Week),Primarily on-site work,Accessible by public transportation,,Cover Letter,Effective verbal and written communication skills,"As a company in the utility industry, we have a proven track record for producing energy savings in commercial and residential facilities. We are looking for Engineers to work in our company located in Western Massachusetts.This Co-op providesyou the opportunity to explore or refine potential career paths, make valuable industry connections, broaden perspectives, and acquire the skills and knowledge needed to succeed.This opportunity is hands on and will help you develop your skills.You will be working on testing, troubleshootingon existing power generating equipment and get firsthand experience with our fleet operators, installation engineers and manufacturing teams.Working with our team of Engineers and Maintenance crew you will be able to develop electrical generation equipment for use in grid connected microgrid applications.You will see firsthand the development of electrical interconnection systems including switch gear and power electronics for primary power and standby power productions.This opportunity will help you understand creating manufacturing documentation, including panel fabrications drawings, writing schematics, and records for regulatory agencies.Here at Aegis Energy, you will be learning the evolution of products throughout the life cycle for concept, prototyping, testing, designand manufacture, commercialization, training and maintenance and support.",No,Yes,No,No,No,No,No
Consumer Insights Co-op  ,"Sep 24, 2020","Dec 31, 2020",Co-op,1,"Bedford, Massachusetts United States","College of Arts, Media & Design/Communication Studies, College of Engineering/Data Analytics Engineering, D'Amore-McKim School of Business, D'Amore-McKim School of Business/Management Information Systems, D'Amore-McKim School of Business/Marketing",Available,Marketing - Analytics,Hourly,Full Time (32+ Hours Per Week),Remote work is permitted when public health concerns dictate,Car required for commute,,,,,No,Yes,Yes,No,No,Yes,No
Internal Engineering Tools Co-op,"Sep 23, 2020","Dec 18, 2020",Co-op,1,"Boston, Massachusetts United States",Khoury College of Computer Sciences,Available,Software Development,Hourly,Full Time (32+ Hours Per Week),"On-site work is preferred when public health concerns allow, Remote work is permitted when public health concerns dictate",Accessible by public transportation,,,"Django, ReactJS, Kubernetes, JavaScript",ATTENTION: You must apply for this position on NUworks and on the link below:https://jobs.lever.co/cogitocorp/2960738f-c714-477a-a4c1-ca38b726935fThis co-op will learn about developing web software for machine learning annotations with React front end and Python Django backend in Kubernetes cluster. They will learn to develop software for automation and to improve system performance.,No,No,No,No,No,No,Yes
